stdThresh,profitThresh,window,profit,txcount,
1.6,1.018,210,-0.216404,11,
1.6,1.018,225,-0.0736234,12,
1.6,1.018,240,-0.214748,9,
1.6,1.019,30,-0.279434,26,
1.6,1.019,45,-0.356507,23,
1.6,1.019,60,-0.363874,23,
1.6,1.019,75,-0.233567,20,
1.6,1.019,90,-0.349059,21,
1.6,1.019,105,-0.289897,15,
1.6,1.019,120,-0.24324,11,
1.6,1.019,135,-0.225694,7,
1.6,1.019,150,-0.227345,9,
1.6,1.019,165,-0.240741,9,
1.6,1.019,180,-0.235478,11,
1.6,1.019,195,-0.219362,11,
1.6,1.019,210,-0.216985,11,
1.6,1.019,225,-0.0704871,12,
1.6,1.019,240,-0.210057,9,
1.6,1.02,30,-0.279434,26,
1.6,1.02,45,-0.356507,23,
1.6,1.02,60,-0.364105,23,
1.6,1.02,75,-0.233567,20,
1.6,1.02,90,-0.349059,21,
1.6,1.02,105,-0.289897,15,
1.6,1.02,120,-0.24324,11,
1.6,1.02,135,-0.225694,7,
1.6,1.02,150,-0.227345,9,
1.6,1.02,165,-0.240741,9,
1.6,1.02,180,-0.235478,11,
1.6,1.02,195,-0.219362,11,
1.6,1.02,210,-0.214253,9,
1.6,1.02,225,-0.0689451,12,
1.6,1.02,240,-0.210057,9,
1.6,1.021,30,-0.279434,26,
1.6,1.021,45,-0.356507,23,
1.6,1.021,60,-0.364105,23,
1.6,1.021,75,-0.233567,20,
1.6,1.021,90,-0.349059,21,
1.6,1.021,105,-0.289897,15,
1.6,1.021,120,-0.242364,11,
1.6,1.021,135,-0.225694,7,
1.6,1.021,150,-0.227345,9,
1.6,1.021,165,-0.240741,9,
1.6,1.021,180,-0.235478,11,
1.6,1.021,195,-0.219362,11,
1.6,1.021,210,-0.214253,9,
1.6,1.021,225,-0.0709565,12,
1.6,1.021,240,-0.210057,9,
1.6,1.022,30,-0.279434,26,
1.6,1.022,45,-0.356507,23,
1.6,1.022,60,-0.364105,23,
1.6,1.022,75,-0.233567,20,
1.6,1.022,90,-0.349059,21,
1.6,1.022,105,-0.289897,15,
1.6,1.022,120,-0.242364,11,
1.6,1.022,135,-0.225694,7,
1.6,1.022,150,-0.227345,9,
1.6,1.022,165,-0.240741,9,
1.6,1.022,180,-0.235478,11,
1.6,1.022,195,-0.219362,11,
1.6,1.022,210,-0.214253,9,
1.6,1.022,225,-0.0712903,12,
1.6,1.022,240,-0.210057,9,
1.6,1.023,30,-0.279434,26,
1.6,1.023,45,-0.356507,23,
1.6,1.023,60,-0.363369,23,
1.6,1.023,75,-0.233567,20,
1.6,1.023,90,-0.354506,21,
1.6,1.023,105,-0.289897,15,
1.6,1.023,120,-0.236947,11,
1.6,1.023,135,-0.225694,7,
1.6,1.023,150,-0.227345,9,
1.6,1.023,165,-0.240741,9,
1.6,1.023,180,-0.235478,11,
1.6,1.023,195,-0.219362,11,
1.6,1.023,210,-0.214253,9,
1.6,1.023,225,-0.0712903,12,
1.6,1.023,240,-0.210057,9,
1.6,1.024,30,-0.288332,26,
1.6,1.024,45,-0.361891,23,
1.6,1.024,60,-0.363369,23,
1.6,1.024,75,-0.23998,20,
1.6,1.024,90,-0.353439,21,
1.6,1.024,105,-0.289679,15,
1.6,1.024,120,-0.239188,11,
1.6,1.024,135,-0.225457,7,
1.6,1.024,150,-0.23381,9,
1.6,1.024,165,-0.240509,9,
1.6,1.024,180,-0.241875,11,
1.6,1.024,195,-0.230872,11,
1.6,1.024,210,-0.214013,9,
1.6,1.024,225,-0.0667435,12,
1.6,1.024,240,-0.216666,9,
1.6,1.025,30,-0.286502,26,
1.6,1.025,45,-0.360836,23,
1.6,1.025,60,-0.358817,23,
1.6,1.025,75,-0.238723,20,
1.6,1.025,90,-0.353439,21,
1.6,1.025,105,-0.287853,15,
1.6,1.025,120,-0.239188,11,
1.6,1.025,135,-0.223466,7,
1.6,1.025,150,-0.232543,9,
1.6,1.025,165,-0.238556,9,
1.6,1.025,180,-0.240622,11,
1.6,1.025,195,-0.228895,11,
1.6,1.025,210,-0.212713,9,
1.6,1.025,225,-0.0634869,10,
1.6,1.025,240,-0.219703,9,
1.6,1.026,30,-0.286502,26,
1.6,1.026,45,-0.360836,23,
1.6,1.026,60,-0.3607,23,
1.6,1.026,75,-0.238723,20,
1.6,1.026,90,-0.353674,21,
1.6,1.026,105,-0.287853,15,
1.6,1.026,120,-0.239188,11,
1.6,1.026,135,-0.223466,7,
1.6,1.026,150,-0.232543,9,
1.6,1.026,165,-0.238556,9,
1.6,1.026,180,-0.240622,11,
1.6,1.026,195,-0.228895,11,
1.6,1.026,210,-0.212713,9,
1.6,1.026,225,-0.0634869,10,
1.6,1.026,240,-0.219703,9,
1.6,1.027,30,-0.284542,26,
1.6,1.027,45,-0.361069,23,
1.6,1.027,60,-0.3607,23,
1.6,1.027,75,-0.239,20,
1.6,1.027,90,-0.353674,21,
1.6,1.027,105,-0.285897,15,
1.6,1.027,120,-0.238548,9,
1.6,1.027,135,-0.223748,7,
